record_id,equipment_id,equipment_type,manufacturer,model_year,mine_type,country,operating_hours,event_date,event_type,failure_mode,component_failed,severity,downtime_hours,repair_cost_usd,production_loss_tonnes,maintenance_type,was_scheduled,days_since_last_service,oil_analysis_flag,vibration_flag,temperature_flag
EQP-ADB3590D,UNIT-1803,haul_truck,Caterpillar,2008,underground,drc,64584,12/3/2022,breakdown,electrical,alternator,major,17.4,70862.6,1711,corrective,FALSE,27,FALSE,FALSE,FALSE
EQP-596EE017,UNIT-7964,crusher,Sandvik,2019,open_pit,botswana,19253,8/3/2023,breakdown,hydraulics,cylinder,major,46.3,74513.34,10010,corrective,FALSE,57,TRUE,FALSE,FALSE
EQP-23341C24,UNIT-6890,pump,Metso,2011,open_pit,south_africa,52894,5/28/2020,breakdown,casing,general_component,major,10.7,17661.8,580,corrective,FALSE,107,FALSE,FALSE,FALSE
EQP-D8EF5309,UNIT-4949,loader,Volvo,2019,processing_plant,zambia,18369,11/21/2024,condition_based,tires,front_left,routine,2.5,2218.7,240,predictive,FALSE,23,FALSE,TRUE,FALSE
EQP-5A611650,UNIT-4896,excavator,Hitachi,2017,underground,ghana,27901,12/30/2022,condition_based,bucket,general_component,minor,7.7,36773.6,1468,predictive,FALSE,57,FALSE,FALSE,FALSE
EQP-772D4E59,UNIT-8726,haul_truck,Caterpillar,2011,open_pit,zambia,51965,1/17/2023,scheduled_maintenance,preventive,adjustment,minor,4.8,23730.11,650,preventive,TRUE,88,FALSE,FALSE,FALSE
EQP-FAF8FC8C,UNIT-1773,pump,Metso,2015,underground,zambia,36480,5/7/2024,breakdown,seal,general_component,major,8.5,13579.31,796,corrective,FALSE,86,FALSE,TRUE,FALSE
EQP-A33557AD,UNIT-7275,grader,John Deere,2008,underground,south_africa,62968,6/2/2022,breakdown,electrical,starter,major,13.4,17855.68,215,corrective,FALSE,28,FALSE,TRUE,FALSE
EQP-6774156A,UNIT-2813,conveyor,ThyssenKrupp,2019,processing_plant,tanzania,18033,2/24/2020,scheduled_maintenance,preventive,adjustment,routine,0.8,860.33,217,preventive,TRUE,38,FALSE,FALSE,FALSE
EQP-07368603,UNIT-1847,crusher,Sandvik,2012,underground,south_africa,48171,8/27/2020,breakdown,bearing,general_component,minor,19.1,22423.17,3067,corrective,FALSE,32,FALSE,FALSE,FALSE
EQP-43DEF3FE,UNIT-5737,drill_rig,Epiroc,2014,open_pit,tanzania,40526,9/1/2024,scheduled_maintenance,preventive,oil_change,routine,3,4046.22,134,preventive,TRUE,25,FALSE,FALSE,FALSE
EQP-FFD8470D,UNIT-9779,drill_rig,Caterpillar,2010,open_pit,south_africa,57007,11/11/2024,scheduled_maintenance,preventive,oil_change,routine,1.2,3488.05,46,preventive,TRUE,150,FALSE,FALSE,FALSE
EQP-30DDE4C5,UNIT-7621,haul_truck,Komatsu,2013,open_pit,zambia,43641,5/30/2020,condition_based,transmission,torque_converter,routine,1.8,2805.71,172,predictive,FALSE,119,TRUE,FALSE,FALSE
EQP-8AC6BC3C,UNIT-7849,haul_truck,Belaz,2014,underground,ghana,40775,5/17/2023,breakdown,transmission,clutch,minor,8.7,15772.63,677,corrective,FALSE,31,TRUE,FALSE,FALSE
EQP-9D554B23,UNIT-7456,haul_truck,Hitachi,2011,underground,zambia,52485,4/4/2023,scheduled_maintenance,preventive,filter_replace,routine,2.8,3355.99,417,preventive,TRUE,113,FALSE,FALSE,FALSE
EQP-2469FA20,UNIT-8073,loader,Volvo,2023,underground,ghana,5322,10/24/2020,scheduled_maintenance,preventive,oil_change,routine,2.3,4331.96,126,preventive,TRUE,17,FALSE,FALSE,FALSE
EQP-0DD3A635,UNIT-5618,haul_truck,Hitachi,2012,underground,zambia,47944,11/18/2023,inspection,preventive,inspection,routine,3.7,3482.33,379,preventive,TRUE,16,FALSE,FALSE,FALSE
EQP-50C0A798,UNIT-2152,haul_truck,Hitachi,2010,open_pit,south_africa,54270,4/7/2022,scheduled_maintenance,preventive,oil_change,routine,3.2,6111.62,403,preventive,TRUE,54,FALSE,TRUE,TRUE
EQP-B07114D9,UNIT-8556,conveyor,Metso,2016,open_pit,ghana,31932,2/18/2021,scheduled_maintenance,preventive,inspection,routine,1.4,1889.93,568,preventive,TRUE,57,FALSE,TRUE,FALSE
EQP-C78A86BB,UNIT-5053,haul_truck,Hitachi,2013,open_pit,tanzania,44088,10/5/2022,breakdown,tires,front_right,major,18.5,40917.2,1563,corrective,FALSE,132,FALSE,FALSE,FALSE
EQP-8FCBD06E,UNIT-5502,haul_truck,Caterpillar,2015,open_pit,drc,36518,6/17/2024,condition_based,engine,head_gasket,routine,3.5,3442.97,425,predictive,FALSE,18,TRUE,FALSE,FALSE
EQP-8727DECE,UNIT-4336,conveyor,FLSmidth,2019,underground,drc,18467,1/25/2021,scheduled_maintenance,preventive,filter_replace,routine,0.9,1598.92,301,preventive,TRUE,2,FALSE,TRUE,FALSE
EQP-2B8400B6,UNIT-2642,excavator,Hitachi,2009,processing_plant,zambia,59687,1/18/2023,condition_based,undercarriage,general_component,routine,5.8,9262.88,679,predictive,FALSE,18,TRUE,FALSE,FALSE
EQP-069B351A,UNIT-9339,conveyor,FLSmidth,2016,open_pit,drc,32868,8/11/2023,condition_based,gearbox,general_component,routine,0.9,722.97,364,predictive,FALSE,13,FALSE,TRUE,FALSE
EQP-6DD6D052,UNIT-8033,grader,Caterpillar,2008,underground,tanzania,63895,1/30/2023,inspection,preventive,inspection,routine,2.7,1947.49,51,preventive,TRUE,187,FALSE,FALSE,FALSE
EQP-D99398FD,UNIT-6794,haul_truck,Caterpillar,2008,open_pit,drc,63694,3/16/2023,inspection,preventive,adjustment,routine,2.2,5095.06,289,preventive,TRUE,10,FALSE,FALSE,FALSE
EQP-E0966AD6,UNIT-4621,grader,Komatsu,2009,underground,botswana,61906,7/30/2023,scheduled_maintenance,preventive,oil_change,routine,3.2,1838.55,37,preventive,TRUE,134,TRUE,FALSE,FALSE
EQP-2FC015B3,UNIT-8404,grader,Komatsu,2010,open_pit,tanzania,54929,2/24/2021,breakdown,tires,front_left,major,22.1,22949.26,259,corrective,FALSE,40,FALSE,FALSE,FALSE
EQP-8205EC56,UNIT-5908,loader,Komatsu,2013,underground,drc,45233,7/1/2020,overhaul,transmission,driveshaft,major,24.3,39550.09,1785,major_overhaul,TRUE,32,TRUE,TRUE,FALSE
EQP-A83E749F,UNIT-4990,conveyor,ThyssenKrupp,2022,open_pit,ghana,9021,11/16/2024,condition_based,gearbox,general_component,minor,2.9,3944.6,740,predictive,FALSE,46,TRUE,TRUE,FALSE
EQP-433994D1,UNIT-5053,conveyor,ThyssenKrupp,2022,open_pit,zimbabwe,7774,7/29/2021,overhaul,pulley,general_component,major,10.7,19051.57,2730,major_overhaul,TRUE,88,FALSE,FALSE,FALSE
EQP-3073D525,UNIT-3044,conveyor,FLSmidth,2009,underground,zimbabwe,59967,9/3/2024,scheduled_maintenance,preventive,adjustment,routine,1.9,2256.64,595,preventive,TRUE,37,FALSE,FALSE,FALSE
EQP-9B009935,UNIT-1829,crusher,Metso,2023,open_pit,south_africa,3963,4/28/2021,overhaul,motor,general_component,major,41.8,141968.11,6939,major_overhaul,TRUE,19,FALSE,TRUE,FALSE
EQP-89043B16,UNIT-5990,haul_truck,Belaz,2018,open_pit,south_africa,24181,4/22/2021,breakdown,tires,front_right,minor,6,18106.82,696,corrective,FALSE,16,FALSE,FALSE,FALSE
EQP-6EC8326F,UNIT-8990,pump,Metso,2016,open_pit,south_africa,31405,2/14/2020,scheduled_maintenance,preventive,oil_change,routine,1.4,869.51,73,preventive,TRUE,26,FALSE,FALSE,FALSE
EQP-0111CD48,UNIT-1574,conveyor,ThyssenKrupp,2020,processing_plant,zimbabwe,15571,3/6/2022,scheduled_maintenance,preventive,adjustment,routine,1.7,1264.79,529,preventive,TRUE,53,FALSE,FALSE,FALSE
EQP-3CB8BBE0,UNIT-8723,loader,Volvo,2015,open_pit,zimbabwe,35644,8/27/2024,breakdown,tires,rear_left,critical,38.9,101104.02,2058,corrective,FALSE,39,TRUE,FALSE,FALSE
EQP-396B4208,UNIT-8447,excavator,Komatsu,2012,underground,south_africa,47676,5/29/2024,breakdown,bucket,general_component,minor,6.6,27956.4,1010,corrective,FALSE,21,FALSE,FALSE,FALSE
EQP-2FD77B22,UNIT-3490,haul_truck,Hitachi,2016,processing_plant,drc,31689,7/2/2021,breakdown,electrical,wiring,critical,55.7,105311.39,5651,corrective,FALSE,41,FALSE,TRUE,FALSE
EQP-0CBEC397,UNIT-6684,drill_rig,Sandvik,2019,underground,zimbabwe,17759,1/1/2022,breakdown,drill_string,general_component,critical,51.5,97726.3,1394,corrective,FALSE,42,FALSE,FALSE,FALSE
EQP-ECAE2D8D,UNIT-2486,drill_rig,Caterpillar,2018,open_pit,botswana,24097,4/20/2023,overhaul,drill_string,general_component,major,11.7,25117.76,396,major_overhaul,TRUE,130,FALSE,FALSE,FALSE
EQP-B8587403,UNIT-7822,drill_rig,Sandvik,2010,underground,south_africa,55472,9/14/2024,overhaul,electrical,alternator,major,14.2,26158.14,355,major_overhaul,TRUE,51,FALSE,FALSE,FALSE
EQP-7AE0F851,UNIT-7304,excavator,Hitachi,2023,open_pit,ghana,2133,12/23/2022,inspection,preventive,inspection,routine,5.3,7371.65,967,preventive,TRUE,49,FALSE,FALSE,FALSE
EQP-CB05D3CC,UNIT-4190,haul_truck,Komatsu,2012,underground,ghana,47649,12/26/2020,overhaul,transmission,gearbox,major,12.3,74673.29,1258,major_overhaul,TRUE,56,TRUE,FALSE,FALSE
EQP-849A59B9,UNIT-1611,conveyor,Metso,2021,open_pit,zambia,11619,10/3/2021,inspection,preventive,filter_replace,routine,1.2,1850.84,500,preventive,TRUE,22,FALSE,FALSE,FALSE
EQP-B504153B,UNIT-9735,excavator,Komatsu,2012,underground,south_africa,49275,7/27/2023,overhaul,engine,oil_pump,major,23.5,54646.46,4016,major_overhaul,TRUE,42,FALSE,FALSE,TRUE
EQP-7636ED7D,UNIT-5010,pump,KSB,2009,processing_plant,south_africa,59460,2/12/2020,breakdown,motor,general_component,minor,4.9,4445.95,381,corrective,FALSE,83,FALSE,TRUE,FALSE
EQP-4109C499,UNIT-9037,haul_truck,Caterpillar,2023,open_pit,tanzania,4667,12/15/2022,breakdown,tires,front_right,major,20,58257.52,2383,corrective,FALSE,16,FALSE,TRUE,FALSE
EQP-772FE08D,UNIT-7100,excavator,Komatsu,2017,open_pit,drc,29382,10/16/2023,inspection,preventive,adjustment,minor,15.9,36021.72,2272,preventive,TRUE,84,FALSE,FALSE,FALSE
EQP-096675DF,UNIT-8004,excavator,Caterpillar,2011,open_pit,south_africa,51371,9/15/2021,scheduled_maintenance,preventive,filter_replace,routine,4.4,7714.01,619,preventive,TRUE,40,TRUE,FALSE,FALSE
EQP-E89D56AE,UNIT-7838,conveyor,Metso,2008,underground,ghana,63952,8/28/2022,condition_based,motor,general_component,routine,1.1,790.75,359,predictive,FALSE,34,FALSE,TRUE,FALSE
EQP-20D5314A,UNIT-2751,drill_rig,Sandvik,2010,open_pit,south_africa,57728,7/16/2023,scheduled_maintenance,preventive,inspection,routine,2,3415.7,54,preventive,TRUE,1,FALSE,FALSE,FALSE
EQP-45ED40AE,UNIT-4274,crusher,Sandvik,2010,underground,ghana,56228,12/7/2022,scheduled_maintenance,preventive,inspection,minor,21.5,23872.93,4352,preventive,TRUE,8,TRUE,FALSE,FALSE
EQP-7C435606,UNIT-5200,pump,KSB,2022,underground,drc,8373,2/13/2020,breakdown,motor,general_component,major,10,12491.92,731,corrective,FALSE,4,FALSE,TRUE,FALSE
EQP-ADBD88CD,UNIT-5479,excavator,Hitachi,2010,processing_plant,south_africa,55592,11/19/2022,condition_based,undercarriage,general_component,minor,17.4,38944.64,1973,predictive,FALSE,135,TRUE,FALSE,FALSE
EQP-6267C331,UNIT-1394,crusher,FLSmidth,2010,open_pit,south_africa,56687,2/19/2021,scheduled_maintenance,preventive,inspection,routine,8.1,13704.98,2318,preventive,TRUE,18,FALSE,FALSE,FALSE
EQP-51B9F9A4,UNIT-5918,haul_truck,Hitachi,2021,open_pit,tanzania,11960,8/24/2023,scheduled_maintenance,preventive,inspection,routine,3.1,3040.64,234,preventive,TRUE,109,FALSE,FALSE,FALSE
EQP-8ABFFA6E,UNIT-2388,excavator,Komatsu,2022,open_pit,tanzania,6167,4/15/2021,scheduled_maintenance,preventive,filter_replace,routine,3,7828.33,367,preventive,TRUE,51,TRUE,FALSE,FALSE
EQP-CCB93AC3,UNIT-7689,drill_rig,Caterpillar,2011,underground,south_africa,51644,10/26/2024,scheduled_maintenance,preventive,adjustment,minor,6.4,9942.79,269,preventive,TRUE,5,FALSE,FALSE,FALSE
EQP-C2C85256,UNIT-7146,haul_truck,Caterpillar,2018,open_pit,zambia,22816,7/30/2020,scheduled_maintenance,preventive,inspection,routine,3.3,1547.15,451,preventive,TRUE,25,TRUE,TRUE,FALSE
EQP-248513DA,UNIT-9301,conveyor,ThyssenKrupp,2016,open_pit,south_africa,32112,5/22/2024,condition_based,belt,general_component,routine,1.7,2200.23,626,predictive,FALSE,37,FALSE,FALSE,FALSE
EQP-9A090B36,UNIT-7702,crusher,Metso,2017,open_pit,tanzania,27083,3/2/2020,scheduled_maintenance,preventive,oil_change,routine,11.8,12869.92,2812,preventive,TRUE,86,FALSE,FALSE,FALSE
EQP-C4EBFD24,UNIT-4299,loader,Volvo,2012,underground,tanzania,48478,5/14/2023,overhaul,tires,rear_left,major,29.8,34589.75,1897,major_overhaul,TRUE,3,FALSE,FALSE,FALSE
EQP-51213139,UNIT-9706,drill_rig,Sandvik,2020,processing_plant,zambia,16044,9/27/2021,scheduled_maintenance,preventive,adjustment,minor,6.1,16581.4,298,preventive,TRUE,12,FALSE,TRUE,FALSE
EQP-F4D26B61,UNIT-4697,conveyor,Metso,2022,open_pit,zambia,6751,12/17/2020,overhaul,roller,general_component,major,11.2,10472.31,4604,major_overhaul,TRUE,19,TRUE,FALSE,FALSE
EQP-3B43867B,UNIT-3932,excavator,Komatsu,2019,open_pit,ghana,19507,1/27/2021,inspection,preventive,inspection,routine,5.1,6318.27,577,preventive,TRUE,54,FALSE,FALSE,FALSE
EQP-7F4F6C80,UNIT-9148,haul_truck,Hitachi,2022,open_pit,south_africa,8620,3/10/2020,inspection,preventive,adjustment,routine,2.9,7389.5,378,preventive,TRUE,7,TRUE,FALSE,FALSE
